Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:AT1G01010,327.66086197170205,0.26618142551219126,0.12008539005149106,2.2166012484787374,0.026650352191069485,0.07795327363140808
gene:AT1G01020,241.70161833831335,0.5707998616068314,0.13262765977268007,4.303776923947582,1.6791073621564065e-05,0.0001262871337072532
gene:AT1G01030,53.953889703629024,-0.0029771569039890046,0.2695146880359609,-0.011046362354810761,0.9911864572656237,0.9956194016869824
gene:AT1G01040,805.7797721229564,-0.05789787065627992,0.08271999591190334,-0.699925937108859,0.4839735585032422,0.6586680192609877
gene:AT1G01050,1584.8805117555123,0.024043460628419958,0.07591516322234344,0.316714864433611,0.7514599688269452,0.8597562676218359
gene:AT1G01060,16.9221478024476,1.7751894474481074,0.5404551308555189,3.2846194736611225,0.0010212019142094837,0.004924132939622847
gene:AT1G01070,302.7335547703976,1.079774951553196,0.12800481987464027,8.435424170829338,3.3000373299118384e-17,9.048056607984454e-16
gene:AT1G01080,94.69669832532804,-0.27080737807800526,0.19830086197377922,-1.3656389356180076,0.17205231941492527,0.32566183757326816
gene:AT1G01090,3158.512762373513,-0.1281011882151119,0.06633767947571333,-1.931047169987467,0.05347721936433871,0.13542206776712834
gene:AT1G01100,6443.89122424784,0.0026994976524154723,0.06526131872895731,0.04136443616205489,0.9670053643496141,0.9836440744796103
gene:AT1G01110,236.29149067423648,0.22160799747175763,0.137038426045488,1.6171230498385758,0.10585172229591812,0.22842968933906602
gene:AT1G01120,828.5570797771702,0.3361364624466901,0.08830294304153478,3.8066280790730005,0.000140874351880023,0.0008579697332393837
gene:AT1G01130,33.801911543558454,0.08377880650384319,0.3364362778553874,0.24901834914442364,0.8033465878472559,0.892800405468072
gene:AT1G01140,34.90538721732822,-0.24398630013142555,0.33612184068710216,-0.7258864810232722,0.4679083647975466,0.6440343621612209
gene:AT1G01150,0.6057654391255292,2.6140068024229492,2.9473645985018475,0.8868963153563204,0.3751347256145341,
gene:AT1G01160,1090.8069370297828,-0.0203354612025106,0.08048353504859641,-0.2526661035730095,0.8005262435470252,0.8911527761022163
gene:AT1G01170,323.1634975157098,-1.8576666125111017,0.15390775143383698,-12.070000342443372,1.5213367310106602e-33,1.032308301312831e-31
gene:AT1G01180,364.2690350492806,-0.33194767311590706,0.11323214591488637,-2.931567448747491,0.0033725612184225106,0.01382730875377559
gene:AT1G01190,186.28198882415373,-0.8990887000495509,0.16543191801814536,-5.434795841216896,5.485920762326367e-08,6.204150849553372e-07
gene:AT1G01200,77.82650210185652,-0.3715325537861063,0.22166553477542034,-1.6760952674150413,0.09371953361021,0.2088912022343418
gene:AT1G01210,381.147732611222,-0.022577433949801176,0.1137750816494317,-0.1984391803766633,0.842701465394859,0.9169442091966739
gene:AT1G01220,567.889055097207,-0.04820879238120798,0.09513330224764213,-0.5067499103070695,0.6123303059554743,0.7620754032706901
gene:AT1G01225,83.5735739524291,0.5565046436667305,0.21236531567959577,2.6205062812910174,0.008779931266313963,0.031027408592289994
gene:AT1G01230,684.2281181516747,0.0437826482067677,0.08822963255588394,0.49623518695984736,0.6197284880683415,0.7669037859459007
gene:AT1G01240,378.36381711718417,-0.14521392360013796,0.10841186069401074,-1.3394652824011568,0.1804192493139215,0.33703265305414615
gene:AT1G01250,0.0,,,,,
gene:AT1G01260,515.7028591130544,0.051159008188972996,0.0967928985445711,0.528540925607423,0.5971239496720482,0.7505003917788867
gene:AT1G01280,0.0,,,,,
gene:AT1G01290,383.29822815255085,0.03208172658164116,0.11010086283463369,0.29138487887989034,0.7707569779619988,0.8714893741808958
gene:AT1G01300,1386.6340996554193,-0.17717612482771908,0.07778387183658078,-2.2778002771571386,0.02273847981632261,0.06846928795375513
gene:AT1G01305,0.1791863737840381,-1.1863243933113192,4.425478833013716,-0.26806690034566083,0.788647823367763,
gene:AT1G01310,1.9904342106347157,-0.23422229575842768,1.4076247991853528,-0.16639540301789313,0.8678457913867146,0.9306550523918674
gene:AT1G01320,839.1666417482083,-0.9607780146611369,0.09526257472397084,-10.085576811723284,6.398824769344672e-24,2.6450927370291056e-22
gene:AT1G01335,0.0,,,,,
gene:AT1G01340,137.5637989715695,-0.32574436832679715,0.16996596021685692,-1.916527097020986,0.05529803752903364,0.13892432807096144
gene:AT1G01350,624.78793351197,0.010113571052281268,0.09418527055084756,0.10737954027345793,0.9144878851465328,0.9550331433737184
